ID,Timestamp,Temperature,Humidity,Voltage
1,2026-01-06T18:18:12Z,7.5626,19.5,57.0
2,2026-01-06T18:18:34Z,7.55495,19.6,57.0
3,2026-01-06T18:18:56Z,7.55092,19.6,56.0
4,2026-01-06T18:22:12Z,19.9,55.0,7.44696
5,2026-01-06T18:22:34Z,19.9,55.0,7.45945
6,2026-01-06T18:22:57Z,19.9,55.0,7.47919
7,2026-01-06T18:23:19Z,20.0,53.0,7.4667
8,2026-01-06T18:23:40Z,20.0,53.0,7.47234
9,2026-01-06T18:24:02Z,20.0,53.0,7.47678
10,2026-01-06T18:24:24Z,20.0,53.0,7.49612
11,2026-01-06T18:44:58Z,17.3,62.0,0.0
12,2026-01-06T18:45:28Z,17.4,62.0,0.0
13,2026-01-06T18:45:49Z,17.4,62.0,0.0
14,2026-01-06T18:46:11Z,17.5,62.0,7.54447
15,2026-01-06T18:46:33Z,17.5,61.0,0.0
16,2026-01-06T18:46:56Z,17.6,61.0,0.0
17,2026-01-06T18:47:18Z,17.6,61.0,7.53601
18,2026-01-06T18:47:39Z,17.7,61.0,7.54084
19,2026-01-06T18:48:01Z,17.7,61.0,7.54004
20,2026-01-06T18:48:23Z,17.7,61.0,7.54004
21,2026-01-06T18:48:45Z,17.7,61.0,7.5356
22,2026-01-06T18:49:07Z,17.7,61.0,7.53963
23,2026-01-06T18:49:29Z,17.7,61.0,7.53842
24,2026-01-06T18:49:51Z,17.7,61.0,7.53883
25,2026-01-06T18:50:13Z,17.7,60.0,7.53601
26,2026-01-06T18:50:34Z,17.7,61.0,7.53641
27,2026-01-06T18:50:56Z,17.7,61.0,7.53883
28,2026-01-06T18:51:18Z,17.7,60.0,7.53722
29,2026-01-06T18:51:39Z,17.7,60.0,7.53117
30,2026-01-06T18:52:01Z,17.7,60.0,7.53722
31,2026-01-06T18:52:23Z,17.7,61.0,7.5344
32,2026-01-06T18:52:45Z,17.7,61.0,7.5356
33,2026-01-06T18:53:07Z,17.7,60.0,7.53158
34,2026-01-06T18:53:29Z,17.7,60.0,7.52996
35,2026-01-06T18:53:51Z,17.7,61.0,7.52553
36,2026-01-06T18:54:14Z,17.7,60.0,7.52634
37,2026-01-06T18:54:36Z,17.7,60.0,7.52029
38,2026-01-06T18:54:58Z,17.7,60.0,7.52714
39,2026-01-06T18:55:20Z,20.5,95.0,7.52472
40,2026-01-06T18:55:42Z,24.0,95.0,7.51828
41,2026-01-06T18:56:05Z,25.3,95.0,7.51868
42,2026-01-06T18:56:27Z,24.0,95.0,7.51143
43,2026-01-06T18:56:49Z,22.5,95.0,7.51828
44,2026-01-06T18:57:11Z,21.5,95.0,7.51344
45,2026-01-06T18:57:33Z,20.7,95.0,7.51707
46,2026-01-06T18:57:55Z,20.0,95.0,7.51586
47,2026-01-06T18:58:17Z,19.4,95.0,7.5215
48,2026-01-06T18:58:39Z,19.0,95.0,7.50659
49,2026-01-06T18:59:01Z,18.7,95.0,7.50901
50,2026-01-06T18:59:24Z,18.4,95.0,7.50659
51,2026-01-06T18:59:45Z,18.1,95.0,7.51143
52,2026-01-06T19:00:07Z,18.0,95.0,7.51264
53,2026-01-06T19:00:29Z,17.8,95.0,7.50458
54,2026-01-06T19:00:50Z,17.7,95.0,7.50861
55,2026-01-06T19:01:12Z,17.6,95.0,7.50458
56,2026-01-06T19:01:34Z,17.5,95.0,7.51667
57,2026-01-06T19:01:56Z,17.4,95.0,7.51425
58,2026-01-06T19:02:18Z,17.4,95.0,7.50619
59,2026-01-06T19:02:40Z,17.3,92.0,7.50095
60,2026-01-06T19:03:01Z,17.3,90.0,7.50216
61,2026-01-06T19:03:23Z,17.2,90.0,7.50901
62,2026-01-06T19:03:46Z,17.2,87.0,7.50861
63,2026-01-06T19:04:08Z,17.2,84.0,7.50941
64,2026-01-06T19:04:29Z,17.2,83.0,7.50821
65,2026-01-06T19:04:51Z,17.2,82.0,7.50901
66,2026-01-06T19:05:13Z,17.3,80.0,7.51022
67,2026-01-06T19:05:35Z,17.3,79.0,7.50015
68,2026-01-06T19:05:57Z,17.3,78.0,7.507
69,2026-01-06T19:06:19Z,17.3,76.0,7.50982
70,2026-01-06T19:06:41Z,17.3,75.0,7.50377
